model,learning_rate,n_estimators,subsample,max_depth,colsample_bytree,fit_time_seconds,accuracy,f1,precision,recall,roc_auc,predict_time_seconds,num_leaves
XGBoost,0.01,100,0.8,3.0,0.8,0.04599720000260277,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9917328042328042,0.0010806999998749234,
XGBoost,0.01,100,0.8,3.0,1.0,0.04463669999677222,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9920634920634921,0.0011146000033477321,
XGBoost,0.01,100,0.8,6.0,0.8,0.06890829999611015,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9930555555555556,0.0011292999988654628,
XGBoost,0.01,100,0.8,6.0,1.0,0.09231309999449877,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9917328042328042,0.0012319000015850179,
LightGBM,0.01,100,0.8,,0.8,0.040725799997744616,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9907407407407407,0.0022654999993392266,15.0
LightGBM,0.01,100,0.8,,1.0,0.030915000003005844,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9900793650793651,0.002001599998038728,15.0
LightGBM,0.01,100,0.8,,0.8,0.0408333000013954,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9907407407407407,0.0021374999996623956,31.0
LightGBM,0.01,100,0.8,,1.0,0.12418990000151098,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9900793650793651,0.0031556000030832365,31.0
LightGBM,0.01,100,0.8,,0.8,0.0416138999935356,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9907407407407407,0.002089299996441696,63.0
LightGBM,0.01,100,0.8,,1.0,0.040266299998620525,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9900793650793651,0.0019184999982826412,63.0
XGBoost,0.01,100,1.0,3.0,0.8,0.04287350000231527,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9890873015873016,0.0013554999968619086,
XGBoost,0.01,100,1.0,3.0,1.0,0.04815170000074431,0.9385964912280702,0.9517241379310345,0.9452054794520548,0.9583333333333334,0.9884259259259258,0.0011421999952290207,
XGBoost,0.01,100,1.0,6.0,0.8,0.08144959999481216,0.9385964912280702,0.951048951048951,0.9577464788732394,0.9444444444444444,0.9894179894179894,0.0011716000008163974,
XGBoost,0.01,100,1.0,6.0,1.0,0.0906466000014916,0.9298245614035088,0.9436619718309859,0.9571428571428572,0.9305555555555556,0.9867724867724869,0.0012711000017588958,
LightGBM,0.01,100,1.0,,0.8,0.03163940000376897,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9907407407407407,0.0024330999949597754,15.0
LightGBM,0.01,100,1.0,,1.0,0.03363250000256812,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9900793650793651,0.0018674000020837411,15.0
LightGBM,0.01,100,1.0,,0.8,0.036908399997628294,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9907407407407407,0.001906600002257619,31.0
LightGBM,0.01,100,1.0,,1.0,0.03748210000048857,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9900793650793651,0.0021425000013550743,31.0
LightGBM,0.01,100,1.0,,0.8,0.04397439999593189,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9907407407407407,0.0020012999957543798,63.0
LightGBM,0.01,100,1.0,,1.0,0.04159549999894807,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9900793650793651,0.001973400001588743,63.0
XGBoost,0.01,300,0.8,3.0,0.8,0.11704090000421274,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9940476190476191,0.0013212999983807094,
XGBoost,0.01,300,0.8,3.0,1.0,0.13083800000458723,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9943783068783069,0.001320899995334912,
XGBoost,0.01,300,0.8,6.0,0.8,0.18365710000216495,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9940476190476191,0.0014164000021992251,
XGBoost,0.01,300,0.8,6.0,1.0,0.20312320000084583,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9947089947089947,0.0014231000022846274,
